,years_exp
3302,3
6561,0
4852,0
2447,4
950,6
2233,5
3707,0
1953,1
5321,1
1719,2
2987,0
55,10
2736,4
1523,6
1622,6
1627,0
4857,0
1232,7
13,13
848,6
398,7
2870,0
1835,5
3195,3
5653,0
2468,4
941,5
1529,6
4911,1
2818,5
1097,7
5358,1
1051,5
6214,0
5323,1
2094,5
2955,0
4803,2
520,9
3148,3
438,8
299,11
3057,4
4542,2
3513,3
1489,6
3022,4
3451,3
3672,0
1542,6
1786,1
3164,3
870,6
3232,3
5170,1
2497,4
1873,5
1771,1
2642,3
5988,0
5223,1
501,8
4475,2
3149,3
5048,1
3890,0
531,9
2194,5
6478,0
4681,2
727,6
94,13
1790,2
44,13
5139,1
1713,6
2988,4
2632,0
485,14
3587,3
2911,0
3334,3
2595,4
4632,2
6193,0
2973,0
3367,3
3531,0
1837,5
1455,6
4063,2
4565,2
5734,1
1395,6
6260,0
755,13
849,3
3246,3
2853,4
6639,0
2462,4
2265,5
5243,1
2108,5
1797,5
4024,0
3856,0
2415,4
6067,0
3484,3
5435,1
5325,1
1313,3
1775,3
2052,1
947,8
334,10
4884,0
666,8
1975,5
351,10
203,9
3425,1
1484,5
4163,2
692,13
6429,0
3096,0
5618,1
2753,4
73,13
2368,4
5574,1
3384,3
3624,0
5235,1
6705,0
2211,0
4505,2
6104,0
5211,1
0,9
4637,2
2553,4
1077,7
2527,4
2929,
3827,3
3278,3
235,16
4802,2
3547,3
4255,2
3201,3
120,23
4221,2
2312,4
2257,5
SEA,
4120,2
3737,0
2918,
3744,0
6288,0
5664,1
6366,0
5052,1
5565,1
6737,0
1679,6
4527,2
2984,0
664,12
2603,4
2854,0
747,6
1381,6
673,10
3695,3
1344,6
419,10
300,11
3193,3
957,8
1677,1
977,5
4937,1
2296,1
858,8
6713,0
3781,3
4578,2
3921,3
2250,5
2289,2
3831,3
2324,4
6727,0
5031,1
4931,1
449,9
216,9
2153,1
4877,1
5041,1
4927,1
5040,1
3562,3
4241,2
3027,
2404,4
2875,0
4225,2
6061,0
3390,3
6383,0
4755,0
2798,4
385,10
537,9
372,7
1341,2
3040,4
5166,1
5566,1
623,9
2564,1
HOU,
2500,4
3952,0
4031,2
2393,4
5668,1
4859,2
5923,0
1899,1
4881,1
467,0
1511,6
52,8
4757,0
5802,1
4055,2
2841,0
2460,4
1357,6
6009,0
181,12
6710,0
5249,1
2865,4
6244,0
5000,1
6078,0
6405,0
2864,1
2064,5
4754,0
5049,1
6666,0
1740,8
1584,6
2053,5
1325,2
4626,2
74,15
3170,3
410,6
6209,0
4788,1
4465,2
5302,1
737,4
343,10
2646,1
2501,4
4998,1
636,9
1487,3
792,4
2067,5
3798,0
1088,7
6350,0
2379,4
3755,3
3853,3
3113,0
1989,3
433,7
2463,4
1518,6
3110,0
1505,1
4281,2
1062,4
4700,2
3576,3
2801,4
399,7
3127,0
3851,3
1938,2
1460,6
4580,2
6179,0
6632,0
785,6
6221,0
6630,0
4340,2
2242,5
2746,0
2927,
642,9
4794,
1420,6
3070,0
1935,5
2043,5
1892,5
4414,2
5396,0
6638,0
2195,2
676,10
3115,0
6432,0
6248,0
2449,4
5958,0
6108,0
3436,3
3966,0
1359,6
173,2
5761,1
3758,3
1141,7
2675,0
5975,0
3423,3
3354,3
359,10
5805,1
547,6
5719,1
5182,1
1947,5
3283,3
4115,2
3450,0
4635,2
2134,5
782,6
4016,0
2805,1
4201,2
3889,3
6579,0
68,7
1854,5
5721,1
3897,0
5528,1
1827,1
1585,6
6150,0
5567,1
852,5
6423,0
2458,2
4872,0
3368,3
6042,0
6337,0
4232,2
6681,0
198,13
6743,0
1684,6
4895,1
5560,1
4438,2
479,4
913,8
1525,6
2344,4
1582,6
5904,0
2039,5
5162,1
3075,0
5095,1
4842,2
665,5
2667,4
3873,0
